poi_id,name,region,locality,address,postcode,longitude,latitude,category_level1,category_level2,category_level3,business_status,phone,website_domain,rating,rating_count,traffic_score,time_spent,update_month
684c7313158e67d01bd0f1f94eccc1a3,Clinique dentaire Élite Dr Sabai Regragui Abdelhafid,Ville Nouvelle,Fes,"N° 10، Espace Raid، 10 Rue Lalla Aicha, Fes 30000, Morocco",30000,-5.01029592,34.03250751,Health & Wellness,Clinics & Specialists,Oral surgeon,Open 24 hours,+212 5359-30960,cliniquedentairelite.com,3.8,52.0,26.29,People typically spend up to 2.5 hours here,03-2025
aceaa2d138996d7e66a1b574dacbd4cc,Clinique Les Mimosas,Mohammedia,Mohammedia,"Boulevard Hassan 2, Mohammedia 28800, Morocco",28800,-7.35236964,33.71250676,Health & Wellness,Clinics & Specialists,Medical clinic,Open 24 hours,+212 5233-28181,cliniquelesmimosas.ma,3.5,88.0,30.29,People typically spend up to 1.5 hours here,03-2025
59731cc614f34d3fe0ea9159cabfead8,"Clinique dentaire Moqadem Hafça Hollywood smile, Implant, prothèse, Facette, Blanchiment urgence dentaire, dentiste Marrakech",Marrakesh Metropolitan Area,Marrakesh,"2éme étage, Madani Plaza, 180 Bd Abdelkrim Al Khattabi, Marrakech 40000, Morocco",40000,-8.01919264,31.63339526,Health & Wellness,Clinics & Specialists,Dentist,Open,+212 5244-37470,esthetiquedentairemarrakech.com,4.9,989.0,47.33,People typically spend up to 2 hours here,03-2025
bb873a5122a616fbdf0fdd1be41360b5,Cabinet Dr Benrahou ABDELHAK 24h/7j et a domicile,Marrakesh Metropolitan Area,Marrakesh,"N2, Marrakech 40150, Morocco",40150,-8.0596778,31.62511416,Health & Wellness,Clinics & Specialists,General practitioner,Open 24 hours,+212 689-429955,sites.google.com,4.3,6.0,39.71,People typically spend up to 1 hour here,03-2025
54fcc8a688224bc8c1fff73ea69ed666,AKDITAL Clinique de Spécialités de Safi,Safi,Safi,"quartier ABC, Av. Hassan II, Safi 46000, Morocco",46000,-9.22454467,32.29852625,Health & Wellness,Clinics & Specialists,Specialized clinic,Open 24 hours,+212 5246-20808,akdital.ma,3.0,60.0,40.0,People typically spend up to 1.5 hours here,03-2025
af7f865d1a380e217aacd89a538827c9,Centre Merzouga de Hijama & Cupping Thérapie,Taza-Al Hoceima-Taounate,Taza,"1er étage, Ex terrain d'aviation, Bloc 3 N2, Taza 35000, Morocco",35000,-4.00500213,34.22149775,Health & Wellness,Therapy & Rehab,Physical therapy clinic,Open,+212 634-892640,hijamataza.com,5.0,733.0,42.86,People typically spend up to 30 min here,03-2025
076c74feb4a30fd0e5ee293bb88bfa23,ذ. سوني Dr. Sounny طبيب العيون Ophtalmologue Inezgane - Dcheira Agadir - دشيرة إنزكان أكادير,Souss-Massa-Draa,Inezgane,"34, Immeuble Errahma, 3eme étage, Av. Hassan II, Dcheira El Jihadia Dcheira El Jihadia, Inezgane 80000, Morocco",80000,-9.52879917,30.36217236,Health & Wellness,Clinics & Specialists,Ophthalmologist,Open,+212 5283-33837,drsounny.ma,4.8,790.0,62.0,People typically spend up to 2 hours here,03-2025
881a3891ef81ede3d9d64377003cad9a,Clinique les Champs - مصحة البساتين,Ville Nouvelle,Fes,"Yakouta 8 Dokkarat Champs de Course, Fès 30000, Morocco",30000,-5.01755611,34.03719133,Health & Wellness,Clinics & Specialists,Medical clinic,Open 24 hours,+212 532-454647,cliniqueleschamps.com,4.1,50.0,42.29,People typically spend up to 1.5 hours here,03-2025
0980efe3714d7218cd53bc08498efe67,AL Amane - Clinique multidisciplinaire à Casablanca,Maghreb,Casablanca,"39, Rue Mohamed Al Hayani (ex Lamenais) Franceville, Casablanca 20000, Morocco",20000,-7.6336606,33.56535897,Health & Wellness,Clinics & Specialists,Medical clinic,Open 24 hours,+212 5222-51062,clinique-alamane.com,3.9,104.0,44.86,People typically spend up to 2 hours here,03-2025
b60d6f9955d38cd72f3aa5943d28e31d,Clinique PANORAMA SIDI MAAROUF - AKDITAL,Sidi Maârouf,Casablanca,"Av. Abou Bakr el Kadiri, Casablanca 20520, Morocco",20520,-7.65230589,33.52600886,Health & Wellness,Clinics & Specialists,Medical clinic,Open 24 hours,+212 5225-89696,clinique-panorama.ma,3.9,216.0,48.57,People typically spend up to 2 hours here,03-2025
